run_number,ifrs_17_group,underlying_group,variable,run_step,currency
,,,ICV,PAA_OPENING_CURRENT,
,,,LIC,PAA_OPENING_CURRENT,
,,,LRC,PAA_OPENING_CURRENT,
,,,LRC_AQE,PAA_OPENING_CURRENT,
,,,LRC_AQE_FX_IMPACT,PAA_OPENING_CURRENT,
,,,LRC_FX_IMPACT,PAA_OPENING_CURRENT,
,,,LRC_LC,PAA_OPENING_CURRENT,
,,,LRC_LC_FX_IMPACT,PAA_OPENING_CURRENT,
,,,FLAG_LC,PAA_OPENING_CURRENT,
,,,FLAG_LRECC,PAA_OPENING_CURRENT,
,,,LRC_P,PAA_OPENING_CURRENT,
,,,LRC_P_FX_IMPACT,PAA_OPENING_CURRENT,
,,,LIC,PAA_CHANGE_IN_DR_SOP,
,,,LRC_P,PAA_CHANGE_IN_DR_SOP,
,,,ICV,PAA_CHANGE_IN_DR_SOP,
,,,LRC,PAA_CHANGE_IN_DR_SOP,
,,,FLAG_LRECC,PAA_CHANGE_IN_DR_SOP,
,,,FLAG_LC,PAA_CHANGE_IN_DR_SOP,
,,,DELTA_LRC,PAA_CHANGE_IN_DR_SOP,
,,,LRC_AQE,PAA_CHANGE_IN_DR_SOP,
,,,LRC_LC,PAA_CHANGE_IN_DR_SOP,
,,,LRC_LRECC,PAA_CHANGE_IN_DR_SOP,
,,,BEL_IFRS17_GMM,PAA_CHANGE_IN_DR_SOP,
,,,CLAIM_RECOVERY_PERCENT,PAA_CHANGE_IN_DR_SOP,
,,,FCF_GMM,PAA_CHANGE_IN_DR_SOP,
,,,RA_GMM,PAA_CHANGE_IN_DR_SOP,
,,,DELTA_LRC_P,PAA_CHANGE_IN_DR_SOP,
,,,DELTA_LRC_AQE,PAA_CHANGE_IN_DR_SOP,
,,,AQE_DEREC,PAA_NB_RECOGNITION,
,,,AQE_PAID,PAA_NB_RECOGNITION,
,,,AQE_CF,PAA_NB_RECOGNITION,
,,,AQE_CF_SUM,PAA_NB_RECOGNITION,
,,,AQE_DEREC_FX_IMPACT,PAA_NB_RECOGNITION,
,,,AQE_PAID_FX_IMPACT,PAA_NB_RECOGNITION,
,,,DELTA_LRC_AQE,PAA_NB_RECOGNITION,
,,,DELTA_LRC_P,PAA_NB_RECOGNITION,
,,,LRC,PAA_NB_RECOGNITION,
,,,LRC_AQE,PAA_NB_RECOGNITION,
,,,LRC_P,PAA_NB_RECOGNITION,
,,,P_PAID_FUT_FX_IMPACT,PAA_NB_RECOGNITION,
,,,P_PAID_FUT_SUM,PAA_NB_RECOGNITION,
,,,LRC_P,PAA_NB_TO_IF,
,,,FLAG_LC,PAA_NB_TO_IF,
,,,FLAG_LC_NB,PAA_NB_TO_IF,
,,,FLAG_LRECC,PAA_NB_TO_IF,
,,,LRC,PAA_NB_TO_IF,
,,,LRC_AQE,PAA_NB_TO_IF,
,,,LRC_LC,PAA_NB_TO_IF,
,,,ILRC,PAA_INTEREST_ACCRETION,
,,,ILRC_AQE,PAA_INTEREST_ACCRETION,
,,,ILRC_AQE_FX_IMPACT,PAA_INTEREST_ACCRETION,
,,,ILRC_AQE_SUM,PAA_INTEREST_ACCRETION,
,,,ILRC_FX_IMPACT,PAA_INTEREST_ACCRETION,
,,,ILRC_LC,PAA_INTEREST_ACCRETION,
,,,ILRC_LC_FX_IMPACT,PAA_INTEREST_ACCRETION,
,,,ILRC_LC_SUM,PAA_INTEREST_ACCRETION,
,,,ILRC_P,PAA_INTEREST_ACCRETION,
,,,ILRC_P_FX_IMPACT,PAA_INTEREST_ACCRETION,
,,,ILRC_P_SUM,PAA_INTEREST_ACCRETION,
,,,ILRC_SUM,PAA_INTEREST_ACCRETION,
,,,LRC,PAA_INTEREST_ACCRETION,
,,,LRC_AQE,PAA_INTEREST_ACCRETION,
,,,LRC_LC,PAA_INTEREST_ACCRETION,
,,,LRC_P,PAA_INTEREST_ACCRETION,
,,,DELTA_LRC,PAA_FCF_RELEASE,
,,,LRC,PAA_FCF_RELEASE,
,,,DELTA_FCF_GMM,PAA_FCF_RELEASE,
,,,DELTA_LRC_LC,PAA_FCF_RELEASE,
,,,DELTA_LRC_LRECC,PAA_FCF_RELEASE,
,,,DELTA_RA_GMM,PAA_FCF_RELEASE,
,,,BEL_IFRS17_GMM,PAA_FCF_RELEASE,
,,,CLAIM_RECOVERY_PERCENT,PAA_FCF_RELEASE,
,,,DELTA_BEL_IFRS17_GMM,PAA_FCF_RELEASE,
,,,DELTA_FCF_GMM,PAA_FCF_RELEASE,
,,,FCF_GMM,PAA_FCF_RELEASE,
,,,RA_GMM,PAA_FCF_RELEASE,
,,,AQE_PAID,PAA_CF_VARIANCE,
,,,AQE_PAID_SUM,PAA_CF_VARIANCE,
,,,LRC_P,PAA_CF_VARIANCE,
,,,P_PAID_FUT_SUM,PAA_CF_VARIANCE,
,,,LRC,PAA_CF_VARIANCE,
,,,P_PAID_FUT,PAA_CF_VARIANCE,
,,,LRC_AQE,PAA_CF_VARIANCE,
,,,DELTA_LRC,PAA_CF_VARIANCE,
,,,DELTA_LRC_P,PAA_CF_VARIANCE,
,,,DELTA_LRC_AQE,PAA_CF_VARIANCE,
,,,AQE_CUR_SER,PAA_AMORTIZATION,
,,,A_AQE,PAA_AMORTIZATION,
,,,PV_AQE_FUT,PAA_AMORTIZATION,
,,,A_AQE_PERCENT,PAA_AMORTIZATION,
,,,AQE_FUT_SER,PAA_AMORTIZATION,
,,,D_AQE,PAA_AMORTIZATION,
,,,DELTA_LRC_AQE,PAA_AMORTIZATION,
,,,LRC_AQE,PAA_AMORTIZATION,
,,,CUR_SER,PAA_AMORTIZATION,
,,,AMORTIZED_EP,PAA_AMORTIZATION,
,,,IC_ACT,PAA_AMORTIZATION,
,,,DELTA_LRC_P,PAA_AMORTIZATION,
,,,PV_P_FUT,PAA_AMORTIZATION,
,,,FUT_SER,PAA_AMORTIZATION,
,,,LRC,PAA_AMORTIZATION,
,,,LRC_P,PAA_AMORTIZATION,
,,,UNAMORTIZED_EP,PAA_AMORTIZATION,
,,,UNAMORTIZED_EP_PERCENT,PAA_AMORTIZATION,
,,,LRC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,FLAG_LC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,DELTA_LRC_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,DELTA_LRC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,LRC_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,FLAG_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,
,,,PAA_LRECC_REVERSAL,PAA_CHANGE_IN_ESTIMATES_FS,
,,,LRC_LRECC_INTERIM,PAA_CHANGE_IN_ESTIMATES_FS,
,,,BEL_IFRS17_GMM,PAA_CHANGE_IN_ESTIMATES_FS,
,,,RA_GMM,PAA_CHANGE_IN_ESTIMATES_FS,
,,,DELTA_LRC,PAA_CHANGE_IN_DR_EOP,
,,,LRC,PAA_CHANGE_IN_DR_EOP,
,,,FLAG_LC,PAA_CHANGE_IN_DR_EOP,
,,,FLAG_LRECC,PAA_CHANGE_IN_DR_EOP,
,,,LRC_LRECC,PAA_CHANGE_IN_DR_EOP,
,,,PAA_LRECC_REVERSAL,PAA_CHANGE_IN_DR_EOP,
,,,LRC_LRECC_INTERIM,PAA_CHANGE_IN_DR_EOP,
,,,DELTA_LRC_LRECC,PAA_CHANGE_IN_DR_EOP,
,,,ICV,PAA_CLOSING_CURRENT,
,,,LIC,PAA_CLOSING_CURRENT,
,,,LRC,PAA_CLOSING_CURRENT,
,,,LRC_AQE,PAA_CLOSING_CURRENT,
,,,BEL_IFRS17_GMM,PAA_CLOSING_CURRENT,
,,,FCF_GMM,PAA_CLOSING_CURRENT,
,,,RA_GMM,PAA_CLOSING_CURRENT,
,,,LRC_LC,PAA_CLOSING_CURRENT,
,,,LRC_P,PAA_CLOSING_CURRENT,
,,,BEL_B_LIC,LIC_OPENING_CURRENT,
,,,BEL_B_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_B_VAR_LIC,LIC_OPENING_CURRENT,
,,,BEL_B_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_LIC,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_OPENING_CURRENT,
,,,BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_E_FUT_LIC,LIC_OPENING_CURRENT,
,,,BEL_E_FUT_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_E_LIC,LIC_OPENING_CURRENT,
,,,BEL_E_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_E_VAR_LIC,LIC_OPENING_CURRENT,
,,,BEL_E_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_IC_LIC,LIC_OPENING_CURRENT,
,,,BEL_IC_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_LIC,LIC_OPENING_CURRENT,
,,,CF_BEL_B_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_B_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_B_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_B_VAR_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_B_VAR_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_B_VAR_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_MOP,LIC_OPENING_CURRENT,
,,,LIC,LIC_OPENING_CURRENT,
,,,RA_LIC,LIC_OPENING_CURRENT,
,,,RA_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_B_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_B_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_B_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_IC_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_LIC,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_IC_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_IC_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_RA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_RA_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,LIC,LIC_CHANGE_IN_DR_SOP,
,,,RA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,B_ACT,LIC_NC_RECOGNITION,
,,,B_ACT_BEL,LIC_NC_RECOGNITION,
,,,B_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,B_ACT_RA,LIC_NC_RECOGNITION,
,,,B_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,B_VAR_ACT,LIC_NC_RECOGNITION,
,,,B_VAR_ACT_BEL,LIC_NC_RECOGNITION,
,,,B_VAR_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,B_VAR_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,BEL_B_LIC,LIC_NC_RECOGNITION,
,,,BEL_B_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_FUT_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_IC_LIC,LIC_NC_RECOGNITION,
,,,BEL_LIC,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_BOP,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_EOP,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_MOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_BOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_EOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_MOP,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_RA,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_PAID_CUR_SUM,LIC_NC_RECOGNITION,
